Page,Clicks,Impressions,CTR,Position,,,,,Page,Clicks
https://docs.python.org/3/howto/curses.html,32,64,50.00%,1.58,,#VALUE!,32,,library/math.html,1
https://docs.python.org/3/library/asyncio-sync.html,32,58,55.17%,1.97,,library/asyncio-sync.html,32,,library/mimetypes.html,5
https://docs.python.org/3/library/2to3.html,32,46,69.57%,1.24,,library/2to3.html,32,,library/mimetypes.html,3
https://docs.python.org/pt-br/dev/library/pickle.html,31,179,17.32%,2.4,,library/pickle.html,31,,library/mmap.html,5
https://docs.python.org/3/reference/expressions.html,31,139,22.30%,6.59,,#VALUE!,31,,library/mmap.html,4
https://docs.python.org/pt-br/3.7/library/venv.html,31,67,46.27%,2.76,,library/venv.html,31,,library/modulefinder.html,1
https://docs.python.org/3/library/ssl.html,31,46,67.39%,1.98,,library/ssl.html,31,,library/modules.html,1
https://docs.python.org/3/library/unittest.mock-examples.html,30,73,41.10%,2.18,,library/unittest.mock-examples.html,30,,library/msvcrt.html,7
https://docs.python.org/3/library/sched.html,29,129,22.48%,3.38,,library/sched.html,29,,library/msvcrt.html,3
https://docs.python.org/3.5/library/hashlib.html,29,114,25.44%,2.38,,library/hashlib.html,29,,library/multiprocessing.html,748
https://docs.python.org/3/library/asyncio-eventloop.html,29,50,58%,1.04,,library/asyncio-eventloop.html,29,,library/multiprocessing.html,1
https://docs.python.org/3/tutorial/index.html,28,530,5%,1.07,,#VALUE!,28,,library/multiprocessing.shared_memory.html,3
https://docs.python.org/pt-br/3.7/library/py_compile.html,28,73,38.36%,3.97,,library/py_compile.html,28,,library/netrc.html,8
https://docs.python.org/3/library/py_compile.html,28,68,41.18%,2.15,,library/py_compile.html,28,,library/netrc.html,1
https://docs.python.org/pt-br/3.8/library/random.html,27,107,25.23%,2.03,,library/random.html,27,,library/numbers.html,1
https://docs.python.org/pt-br/dev/whatsnew/3.8.html,27,58,46.55%,1.55,,#VALUE!,27,,library/numeric.html,33
https://docs.python.org/3/library/distutils.html,27,48,56.25%,1.02,,library/distutils.html,27,,library/numeric.html,9
https://docs.python.org/3.11/whatsnew/3.11.html,27,34,79.41%,1.06,,#VALUE!,27,,library/operator.html,144
https://docs.python.org/pt-br/3.10/library/datetime.html,26,147,17.69%,2.5,,library/datetime.html,26,,library/operator.html,32
https://docs.python.org/3/library/ipaddress.html,26,49,53.06%,2.55,,library/ipaddress.html,26,,library/optparse.html,9
https://docs.python.org/3/library/logging.config.html,26,35,74.29%,1.34,,library/logging.config.html,26,,library/os.html,1338
https://docs.python.org/3/library/readline.html,25,127,19.69%,4.43,,library/readline.html,25,,library/os.html,396
https://docs.python.org/3/library/cmd.html,25,78,32.05%,2.76,,library/cmd.html,25,,library/os.html,10
https://docs.python.org/pt-br/3/whatsnew/index.html,24,62,38.71%,2.1,,#VALUE!,24,,library/os.html,8
https://docs.python.org/3/library/textwrap.html,24,40,60.00%,1,,library/textwrap.html,24,,library/os.html,1
https://docs.python.org/pt-br/3/library/shutil.html,23,61,37.70%,1.89,,library/shutil.html,23,,library/os.path.html,852
https://docs.python.org/pt-br/3.6/howto/unicode.html,22,81,27.16%,2.83,,#VALUE!,22,,library/os.path.html,211
https://docs.python.org/pt-br/3.7/library/pdb.html,22,74,29.73%,1.96,,library/pdb.html,22,,library/os.path.html,9
https://docs.python.org/pt-br/3.6/library/datetime.html,22,56,39.29%,2.18,,library/datetime.html,22,,library/os.path.html,1
https://docs.python.org/3/library/pipes.html,22,51,43%,1.06,,library/pipes.html,22,,library/parser.html,40
https://docs.python.org/pt-br/3.7/library/email.mime.html,22,37,59.46%,1.84,,library/email.mime.html,22,,library/pathlib.html,430
https://docs.python.org/pt-br/3.7/library/winsound.html,22,32,68.75%,1.16,,library/winsound.html,22,,library/pdb.html,324
https://docs.python.org/pt-br/3/library/__future__.html,21,34,61.76%,1.35,,library/__future__.html,21,,library/pdb.html,22
https://docs.python.org/3/library/xml.dom.minidom.html,21,29,72.41%,1.52,,library/xml.dom.minidom.html,21,,library/persistence.html,3
https://docs.python.org/3/library/tarfile.html,21,26,80.77%,1.08,,library/tarfile.html,21,,library/pickle.html,584
https://docs.python.org/pt-br/3.7/tutorial/interpreter.html,20,193,10.36%,2.97,,#VALUE!,20,,library/pickle.html,48
https://docs.python.org/pt-br/3.7/library/glob.html,20,181,11.05%,2.03,,library/glob.html,20,,library/pickle.html,31
https://docs.python.org/pt-br/3/library/exceptions.html,20,74,27.03%,3.22,,library/exceptions.html,20,,library/pipes.html,22
https://docs.python.org/3/howto/logging-cookbook.html,20,53,37.74%,1.51,,#VALUE!,20,,library/pkgutil.html,8
